RRN,SUBJECT_CODE,CAT1_MARK,CAT1_ATTENDANCE,SEM_TAKEN
130071601001,CSB2103,67,85,3
130071601001,CSB2104,71,70,3
130071601001,CSB2105,86,68,3
130071601001,CSB2101,90,60,3
130071601001,CSB2102,78,58,3
130071601002,CSB2103,68,86,3
130071601002,CSB2104,72,71,3
130071601002,CSB2105,87,69,3
130071601002,CSB2101,91,61,3
130071601002,CSB2102,79,59,3
130071601003,CSB2103,69,87,3
130071601003,CSB2104,73,72,3
130071601003,CSB2105,88,70,3
130071601003,CSB2101,92,62,3
130071601003,CSB2102,80,60,3
130071601004,CSB2103,70,88,3
130071601004,CSB2104,74,73,3
130071601004,CSB2105,89,71,3
130071601004,CSB2101,93,63,3
130071601004,CSB2102,81,61,3
130071601005,CSB2103,71,89,3
130071601005,CSB2104,75,74,3
130071601005,CSB2105,90,72,3
130071601005,CSB2101,94,64,3
130071601005,CSB2102,82,62,3
130071601006,CSB2103,72,90,3
130071601006,CSB2104,76,75,3
130071601006,CSB2105,91,73,3
130071601006,CSB2101,95,65,3
130071601006,CSB2102,83,63,3
130071601007,CSB2103,73,91,3
130071601007,CSB2104,77,76,3
130071601007,CSB2105,92,74,3
130071601007,CSB2101,96,66,3
130071601007,CSB2102,84,64,3
130071601008,CSB2103,74,92,3
130071601008,CSB2104,78,77,3
130071601008,CSB2105,93,75,3
130071601008,CSB2101,97,67,3
130071601008,CSB2102,85,65,3
130071601009,CSB2103,75,93,3
130071601009,CSB2104,79,78,3
130071601009,CSB2105,94,76,3
130071601009,CSB2101,98,68,3
130071601009,CSB2102,86,66,3
130071601010,CSB2103,76,94,3
130071601010,CSB2104,80,79,3
130071601010,CSB2105,95,77,3
130071601010,CSB2101,99,69,3
130071601010,CSB2102,87,67,3
130071601011,CSB2103,77,95,3
130071601011,CSB2104,81,80,3
130071601011,CSB2105,96,78,3
130071601011,CSB2101,90,70,3
130071601011,CSB2102,88,68,3
130071601012,CSB2103,78,96,3
130071601012,CSB2104,82,81,3
130071601012,CSB2105,97,79,3
130071601012,CSB2101,76,71,3
130071601012,CSB2102,89,69,3
130071601013,CSB2103,79,97,3
130071601013,CSB2104,83,82,3
130071601013,CSB2105,98,80,3
130071601013,CSB2101,66,72,3
130071601013,CSB2102,90,70,3
130071601014,CSB2103,80,98,3
130071601014,CSB2104,84,83,3
130071601014,CSB2105,99,81,3
130071601014,CSB2101,77,73,3
130071601014,CSB2102,91,71,3
130071601015,CSB2103,81,99,3
130071601015,CSB2104,85,84,3
130071601015,CSB2105,100,82,3
130071601015,CSB2101,88,74,3
130071601015,CSB2102,92,72,3
130071601016,CSB2103,82,100,3
130071601016,CSB2104,86,85,3
130071601016,CSB2105,91,83,3
130071601016,CSB2101,87,75,3
130071601016,CSB2102,93,73,3
130071601017,CSB2103,83,82,3
130071601017,CSB2104,87,86,3
130071601017,CSB2105,93,84,3
130071601017,CSB2101,75,76,3
130071601017,CSB2102,94,74,3
130071601018,CSB2103,84,83,3
130071601018,CSB2104,88,87,3
130071601018,CSB2105,94,85,3
130071601018,CSB2101,65,77,3
130071601018,CSB2102,95,75,3
130071601019,CSB2103,85,84,3
130071601019,CSB2104,89,88,3
130071601019,CSB2105,95,86,3
130071601019,CSB2101,74,78,3
130071601019,CSB2102,96,76,3
