RRN,SUBJECT_CODE,SEM_TAKEN,GRADE,DATE_PASSING,ATTEMPT_ARREAR,ATTEMPT_REDO
130071601097,ENB1181,1,A,2013-12-08,0,0
130071601097,PHB1181,1,C,2013-12-08,0,0
130071601097,CHB1181,1,B,2013-12-08,0,0
130071601097,GEB1101,1,A,2013-12-08,0,0
130071601097,SSB1181,1,B,2013-12-08,0,0
130071601097,PHB1182,1,S,2013-12-08,0,0
130071601097,GEB1102,1,A,2013-12-08,0,0
130071601097,GEB1103,1,A,2013-12-08,0,0
130071601097,PHB1283,2,B,2014-06-08,0,0
130071601097,SSB1182,2,A,2014-06-08,0,0
130071601097,GEB1211,2,C,2014-06-08,0,0
130071601097,EEB1281,2,A,2014-06-08,0,0
130071601097,CSB1211,2,B,2014-06-08,0,0
130071601097,ENB1282,2,B,2014-06-08,0,0
130071601097,EEB1282,2,A,2014-06-08,0,0
130071601097,PHB1284,2,S,2014-06-08,0,0
130071601097,SSB2181,3,A,2014-12-08,0,0
130071601097,CSB2101,3,C,2014-12-08,0,0
130071601097,CSB2102,3,B,2014-12-08,0,0
130071601097,CSB2103,3,B,2014-12-08,0,0
130071601097,CSB2104,3,B,2014-12-08,0,0
130071601097,ENB2181,3,B,2014-12-08,0,0
130071601097,CSB2105,3,A,2014-12-08,0,0
130071601097,CSB2106,3,S,2014-12-08,0,0
130071601097,LSB2181,4,B,2015-06-08,0,0
130071601097,CSB2211,4,B,2015-06-08,0,0
130071601097,CSB2212,4,C,2015-06-08,0,0
130071601097,CSB2213,4,A,2015-06-08,0,0
130071601097,CSB2214,4,B,2015-06-08,0,0
130071601097,ENB2282,4,S,2015-06-08,0,0
130071601097,CSB2215,4,A,2015-06-08,0,0
130071601097,CSB2216,4,B,2015-06-08,0,0
130071601097,CSB2217,4,A,2015-06-08,0,0
130071601097,CHB1182,1,B,2013-12-08,0,0
130071601097,MAB1181,1,A,2013-12-08,0,0
130071601097,MAB1282,2,A,2014-06-08,0,0
130071601097,MAB2285,4,B,2015-06-08,0,0
130071601097,MAB2181,3,U,2014-12-08,0,0
130071601097,CSB2107,3,I,2014-12-08,0,0
